(114, Abbey, Bennet)
(93, Lucas, Lydia)
(94, Lucas, Lydia)
(189, Lucas, Lydia)
(190, Lucas, Lydia)
(191, Lucas, Lydia)
(194, Lucas, Lydia)
(195, Lucas, Lydia)
(197, Lucas, Lydia)
(204, Lucas, Lydia)
(206, Lucas, Lydia)
(207, Lucas, Lydia)
(214, Lucas, Lydia)
(311, Lucas, Lydia)
(313, Lucas, Lydia)
(318, Lucas, Lydia)
(319, Lucas, Lydia)
(320, Lucas, Lydia)
(322, Lucas, Lydia)
(323, Lucas, Lydia)
(324, Lucas, Lydia)
(325, Lucas, Lydia)
(326, Lucas, Lydia)
(342, Lucas, Lydia)
(83, Bennetine, William)
(94, Bennetine, William)
(185, Bennetine, William)
(194, Bennetine, William)
(195, Bennetine, William)
(197, Bennetine, William)
(202, Bennetine, William)
(221, Bennetine, William)
(223, Bennetine, William)
(224, Bennetine, William)
(225, Bennetine, William)
(313, Bennetine, William)
(314, Bennetine, William)
(318, Bennetine, William)
(342, Bennetine, William)
(83, Bennetine, Lucas)
(94, Bennetine, Lucas)
(185, Bennetine, Lucas)
(194, Bennetine, Lucas)
(195, Bennetine, Lucas)
(197, Bennetine, Lucas)
(202, Bennetine, Lucas)
(221, Bennetine, Lucas)
(223, Bennetine, Lucas)
(224, Bennetine, Lucas)
(225, Bennetine, Lucas)
(313, Bennetine, Lucas)
(314, Bennetine, Lucas)
(318, Bennetine, Lucas)
(342, Bennetine, Lucas)
(83, Bennet, William)
(84, Bennet, William)
(86, Bennet, William)
(88, Bennet, William)
(89, Bennet, William)
(90, Bennet, William)
(91, Bennet, William)
(92, Bennet, William)
(93, Bennet, William)
(94, Bennet, William)
(185, Bennet, William)
(190, Bennet, William)
(191, Bennet, William)
(194, Bennet, William)
(195, Bennet, William)
(196, Bennet, William)
(197, Bennet, William)
(202, Bennet, William)
(203, Bennet, William)
(205, Bennet, William)
(207, Bennet, William)
(213, Bennet, William)
(214, Bennet, William)
(215, Bennet, William)
(216, Bennet, William)
(217, Bennet, William)
(218, Bennet, William)
(219, Bennet, William)
(220, Bennet, William)
(221, Bennet, William)
(223, Bennet, William)
(224, Bennet, William)
(225, Bennet, William)
(310, Bennet, William)
(311, Bennet, William)
(312, Bennet, William)
(313, Bennet, William)
(314, Bennet, William)
(315, Bennet, William)
(318, Bennet, William)
(319, Bennet, William)
(321, Bennet, William)
(323, Bennet, William)
(324, Bennet, William)
(325, Bennet, William)
(326, Bennet, William)
(337, Bennet, William)
(339, Bennet, William)
(341, Bennet, William)
(342, Bennet, William)
(83, Bennet, Lucas)
(84, Bennet, Lucas)
(86, Bennet, Lucas)
(88, Bennet, Lucas)
(89, Bennet, Lucas)
(90, Bennet, Lucas)
(91, Bennet, Lucas)
(92, Bennet, Lucas)
(93, Bennet, Lucas)
(94, Bennet, Lucas)
(185, Bennet, Lucas)
(190, Bennet, Lucas)
(191, Bennet, Lucas)
(194, Bennet, Lucas)
(195, Bennet, Lucas)
(196, Bennet, Lucas)
(197, Bennet, Lucas)
(202, Bennet, Lucas)
(203, Bennet, Lucas)
(205, Bennet, Lucas)
(207, Bennet, Lucas)
(213, Bennet, Lucas)
(214, Bennet, Lucas)
(215, Bennet, Lucas)
(216, Bennet, Lucas)
(217, Bennet, Lucas)
(218, Bennet, Lucas)
(219, Bennet, Lucas)
(220, Bennet, Lucas)
(221, Bennet, Lucas)
(223, Bennet, Lucas)
(224, Bennet, Lucas)
(225, Bennet, Lucas)
(310, Bennet, Lucas)
(311, Bennet, Lucas)
(312, Bennet, Lucas)
(313, Bennet, Lucas)
(314, Bennet, Lucas)
(315, Bennet, Lucas)
(318, Bennet, Lucas)
(319, Bennet, Lucas)
(321, Bennet, Lucas)
(323, Bennet, Lucas)
(324, Bennet, Lucas)
(325, Bennet, Lucas)
(326, Bennet, Lucas)
(337, Bennet, Lucas)
(339, Bennet, Lucas)
(341, Bennet, Lucas)
(342, Bennet, Lucas)
(76, Bennetine, Wickham)
(78, Bennetine, Wickham)
(83, Bennetine, Wickham)
(95, Bennetine, Wickham)
(108, Bennetine, Wickham)
(181, Bennetine, Wickham)
(185, Bennetine, Wickham)
(195, Bennetine, Wickham)
(197, Bennetine, Wickham)
(202, Bennetine, Wickham)
(226, Bennetine, Wickham)
(297, Bennetine, Wickham)
(301, Bennetine, Wickham)
(311, Bennetine, Wickham)
(313, Bennetine, Wickham)
(318, Bennetine, Wickham)
(330, Bennetine, Wickham)
(343, Bennetine, Wickham)
(76, Bennetine, Lydia)
(78, Bennetine, Lydia)
(83, Bennetine, Lydia)
(95, Bennetine, Lydia)
(108, Bennetine, Lydia)
(185, Bennetine, Lydia)
(195, Bennetine, Lydia)
(197, Bennetine, Lydia)
(202, Bennetine, Lydia)
(226, Bennetine, Lydia)
(301, Bennetine, Lydia)
(311, Bennetine, Lydia)
(313, Bennetine, Lydia)
(318, Bennetine, Lydia)
(330, Bennetine, Lydia)
(343, Bennetine, Lydia)
(63, Bingley, Michaelmas)
(181, Bingley, Michaelmas)
(297, Bingley, Michaelmas)
(63, Michaelmas, Wickham)
(181, Michaelmas, Wickham)
(297, Michaelmas, Wickham)
(63, Bennet, Wickham)
(67, Bennet, Wickham)
(68, Bennet, Wickham)
(71, Bennet, Wickham)
(72, Bennet, Wickham)
(75, Bennet, Wickham)
(76, Bennet, Wickham)
(77, Bennet, Wickham)
(78, Bennet, Wickham)
(80, Bennet, Wickham)
(83, Bennet, Wickham)
(84, Bennet, Wickham)
(85, Bennet, Wickham)
(86, Bennet, Wickham)
(87, Bennet, Wickham)
(91, Bennet, Wickham)
(92, Bennet, Wickham)
(93, Bennet, Wickham)
(95, Bennet, Wickham)
(108, Bennet, Wickham)
(111, Bennet, Wickham)
(112, Bennet, Wickham)
(113, Bennet, Wickham)
(114, Bennet, Wickham)
(181, Bennet, Wickham)
(185, Bennet, Wickham)
(186, Bennet, Wickham)
(189, Bennet, Wickham)
(190, Bennet, Wickham)
(191, Bennet, Wickham)
(195, Bennet, Wickham)
(196, Bennet, Wickham)
(197, Bennet, Wickham)
(199, Bennet, Wickham)
(202, Bennet, Wickham)
(203, Bennet, Wickham)
(204, Bennet, Wickham)
(205, Bennet, Wickham)
(206, Bennet, Wickham)
(208, Bennet, Wickham)
(209, Bennet, Wickham)
(210, Bennet, Wickham)
(211, Bennet, Wickham)
(212, Bennet, Wickham)
(213, Bennet, Wickham)
(214, Bennet, Wickham)
(226, Bennet, Wickham)
(229, Bennet, Wickham)
(230, Bennet, Wickham)
(231, Bennet, Wickham)
(232, Bennet, Wickham)
(297, Bennet, Wickham)
(301, Bennet, Wickham)
(302, Bennet, Wickham)
(305, Bennet, Wickham)
(306, Bennet, Wickham)
(307, Bennet, Wickham)
(310, Bennet, Wickham)
(311, Bennet, Wickham)
(312, Bennet, Wickham)
(313, Bennet, Wickham)
(315, Bennet, Wickham)
(318, Bennet, Wickham)
(319, Bennet, Wickham)
(320, Bennet, Wickham)
(321, Bennet, Wickham)
(322, Bennet, Wickham)
(326, Bennet, Wickham)
(327, Bennet, Wickham)
(328, Bennet, Wickham)
(329, Bennet, Wickham)
(330, Bennet, Wickham)
(343, Bennet, Wickham)
(346, Bennet, Wickham)
(347, Bennet, Wickham)
(348, Bennet, Wickham)
(63, Bennet, Lydia)
(67, Bennet, Lydia)
(68, Bennet, Lydia)
(71, Bennet, Lydia)
(72, Bennet, Lydia)
(75, Bennet, Lydia)
(76, Bennet, Lydia)
(77, Bennet, Lydia)
(78, Bennet, Lydia)
(80, Bennet, Lydia)
(83, Bennet, Lydia)
(84, Bennet, Lydia)
(85, Bennet, Lydia)
(86, Bennet, Lydia)
(87, Bennet, Lydia)
(91, Bennet, Lydia)
(92, Bennet, Lydia)
(93, Bennet, Lydia)
(95, Bennet, Lydia)
(108, Bennet, Lydia)
(111, Bennet, Lydia)
(112, Bennet, Lydia)
(113, Bennet, Lydia)
(114, Bennet, Lydia)
(185, Bennet, Lydia)
(189, Bennet, Lydia)
(190, Bennet, Lydia)
(191, Bennet, Lydia)
(195, Bennet, Lydia)
(196, Bennet, Lydia)
(197, Bennet, Lydia)
(199, Bennet, Lydia)
(202, Bennet, Lydia)
(203, Bennet, Lydia)
(204, Bennet, Lydia)
(205, Bennet, Lydia)
(206, Bennet, Lydia)
(208, Bennet, Lydia)
(209, Bennet, Lydia)
(210, Bennet, Lydia)
(211, Bennet, Lydia)
(212, Bennet, Lydia)
(213, Bennet, Lydia)
(214, Bennet, Lydia)
(226, Bennet, Lydia)
(229, Bennet, Lydia)
(230, Bennet, Lydia)
(231, Bennet, Lydia)
(232, Bennet, Lydia)
(301, Bennet, Lydia)
(305, Bennet, Lydia)
(306, Bennet, Lydia)
(307, Bennet, Lydia)
(310, Bennet, Lydia)
(311, Bennet, Lydia)
(312, Bennet, Lydia)
(313, Bennet, Lydia)
(315, Bennet, Lydia)
(318, Bennet, Lydia)
(319, Bennet, Lydia)
(320, Bennet, Lydia)
(321, Bennet, Lydia)
(322, Bennet, Lydia)
(326, Bennet, Lydia)
(327, Bennet, Lydia)
(328, Bennet, Lydia)
(329, Bennet, Lydia)
(330, Bennet, Lydia)
(343, Bennet, Lydia)
(346, Bennet, Lydia)
(347, Bennet, Lydia)
(348, Bennet, Lydia)
(63, Lydia, Michaelmas)
(60, Bennetine, Bingley)
(179, Bennetine, Bingley)
(181, Bennetine, Bingley)
(183, Bennetine, Bingley)
(295, Bennetine, Bingley)
(297, Bennetine, Bingley)
(299, Bennetine, Bingley)
(60, Bennetine, Michaelmas)
(179, Bennetine, Michaelmas)
(181, Bennetine, Michaelmas)
(295, Bennetine, Michaelmas)
(297, Bennetine, Michaelmas)
(60, Bennet, Bingley)
(62, Bennet, Bingley)
(63, Bennet, Bingley)
(65, Bennet, Bingley)
(178, Bennet, Bingley)
(179, Bennet, Bingley)
(181, Bennet, Bingley)
(183, Bennet, Bingley)
(294, Bennet, Bingley)
(295, Bennet, Bingley)
(297, Bennet, Bingley)
(299, Bennet, Bingley)
(58, Bennet, Michaelmas)
(59, Bennet, Michaelmas)
(60, Bennet, Michaelmas)
(62, Bennet, Michaelmas)
(63, Bennet, Michaelmas)
(176, Bennet, Michaelmas)
(177, Bennet, Michaelmas)
(178, Bennet, Michaelmas)
(179, Bennet, Michaelmas)
(181, Bennet, Michaelmas)
(292, Bennet, Michaelmas)
(293, Bennet, Michaelmas)
(294, Bennet, Michaelmas)
(295, Bennet, Michaelmas)
(297, Bennet, Michaelmas)
(55, Bennet, Bennetine)
(56, Bennet, Bennetine)
(57, Bennet, Bennetine)
(58, Bennet, Bennetine)
(59, Bennet, Bennetine)
(60, Bennet, Bennetine)
(75, Bennet, Bennetine)
(76, Bennet, Bennetine)
(77, Bennet, Bennetine)
(78, Bennet, Bennetine)
(79, Bennet, Bennetine)
(80, Bennet, Bennetine)
(83, Bennet, Bennetine)
(95, Bennet, Bennetine)
(96, Bennet, Bennetine)
(97, Bennet, Bennetine)
(98, Bennet, Bennetine)
(99, Bennet, Bennetine)
(104, Bennet, Bennetine)
(106, Bennet, Bennetine)
(107, Bennet, Bennetine)
(108, Bennet, Bennetine)
(174, Bennet, Bennetine)
(175, Bennet, Bennetine)
(176, Bennet, Bennetine)
(177, Bennet, Bennetine)
(178, Bennet, Bennetine)
(179, Bennet, Bennetine)
(181, Bennet, Bennetine)
(185, Bennet, Bennetine)
(196, Bennet, Bennetine)
(198, Bennet, Bennetine)
(199, Bennet, Bennetine)
(202, Bennet, Bennetine)
(221, Bennet, Bennetine)
(223, Bennet, Bennetine)
(224, Bennet, Bennetine)
(225, Bennet, Bennetine)
(226, Bennet, Bennetine)
(290, Bennet, Bennetine)
(291, Bennet, Bennetine)
(292, Bennet, Bennetine)
(293, Bennet, Bennetine)
(294, Bennet, Bennetine)
(295, Bennet, Bennetine)
(297, Bennet, Bennetine)
(301, Bennet, Bennetine)
(310, Bennet, Bennetine)
(311, Bennet, Bennetine)
(312, Bennet, Bennetine)
(314, Bennet, Bennetine)
(315, Bennet, Bennetine)
(318, Bennet, Bennetine)
(329, Bennet, Bennetine)
(330, Bennet, Bennetine)
(331, Bennet, Bennetine)
(332, Bennet, Bennetine)
(333, Bennet, Bennetine)
(334, Bennet, Bennetine)
(339, Bennet, Bennetine)
(341, Bennet, Bennetine)
(343, Bennet, Bennetine)
(49, Bennet, Elizabeth)
(40, Elizabeth, Emma)
(39, Bingley, Emma)
(39, Emma, Jane)
(39, Bingley, Jane)
(39, Bingley, Elizabeth)
(39, Elizabeth, Jane)
(38, Jane, Lydia)
(91, Jane, Lydia)
(93, Jane, Lydia)
(210, Jane, Lydia)
(212, Jane, Lydia)
(326, Jane, Lydia)
(328, Jane, Lydia)
(38, Bingley, Lydia)
(65, Bingley, Lydia)
(38, Elizabeth, Wickham)
(41, Elizabeth, Wickham)
(38, Jane, Wickham)
(39, Jane, Wickham)
(91, Jane, Wickham)
(93, Jane, Wickham)
(210, Jane, Wickham)
(212, Jane, Wickham)
(326, Jane, Wickham)
(328, Jane, Wickham)
(38, Bingley, Wickham)
(39, Bingley, Wickham)
(65, Bingley, Wickham)
(183, Bingley, Wickham)
(299, Bingley, Wickham)
(38, Emma, Wickham)
(40, Emma, Wickham)
(38, Lydia, Wickham)
(68, Lydia, Wickham)
(71, Lydia, Wickham)
(72, Lydia, Wickham)
(76, Lydia, Wickham)
(78, Lydia, Wickham)
(85, Lydia, Wickham)
(87, Lydia, Wickham)
(91, Lydia, Wickham)
(93, Lydia, Wickham)
(95, Lydia, Wickham)
(113, Lydia, Wickham)
(114, Lydia, Wickham)
(186, Lydia, Wickham)
(189, Lydia, Wickham)
(191, Lydia, Wickham)
(195, Lydia, Wickham)
(197, Lydia, Wickham)
(204, Lydia, Wickham)
(206, Lydia, Wickham)
(210, Lydia, Wickham)
(212, Lydia, Wickham)
(214, Lydia, Wickham)
(231, Lydia, Wickham)
(232, Lydia, Wickham)
(302, Lydia, Wickham)
(305, Lydia, Wickham)
(307, Lydia, Wickham)
(311, Lydia, Wickham)
(313, Lydia, Wickham)
(320, Lydia, Wickham)
(322, Lydia, Wickham)
(326, Lydia, Wickham)
(328, Lydia, Wickham)
(330, Lydia, Wickham)
(347, Lydia, Wickham)
(348, Lydia, Wickham)
(38, Emma, Lydia)
(38, Elizabeth, Lydia)
(36, Abbey, Elizabeth)
(40, Abbey, Elizabeth)
(41, Abbey, Elizabeth)
(34, Abbey, Jane)
(35, Abbey, Jane)
(36, Abbey, Jane)
(39, Abbey, Jane)
(122, Abbey, Jane)
(123, Abbey, Jane)
(163, Abbey, Jane)
(164, Abbey, Jane)
(278, Abbey, Jane)
(279, Abbey, Jane)
(280, Abbey, Jane)
(396, Abbey, Jane)
(397, Abbey, Jane)
(34, Abbey, Bingley)
(35, Abbey, Bingley)
(36, Abbey, Bingley)
(39, Abbey, Bingley)
(34, Abbey, Lydia)
(35, Abbey, Lydia)
(36, Abbey, Lydia)
(38, Abbey, Lydia)
(114, Abbey, Lydia)
(231, Abbey, Lydia)
(232, Abbey, Lydia)
(348, Abbey, Lydia)
(34, Abbey, Wickham)
(35, Abbey, Wickham)
(36, Abbey, Wickham)
(38, Abbey, Wickham)
(40, Abbey, Wickham)
(41, Abbey, Wickham)
(114, Abbey, Wickham)
(231, Abbey, Wickham)
(232, Abbey, Wickham)
(348, Abbey, Wickham)
(24, Abbey, Emma)
(25, Abbey, Emma)
(28, Abbey, Emma)
(35, Abbey, Emma)
(36, Abbey, Emma)
(40, Abbey, Emma)
